name,cuisine,rating,delivery_time,distance,latitude,longitude,id
KOI Th̩ - Funan,"Bubble Tea, Coffee & Tea, Drinks & Beverages",4.1,30 mins , 0.5 km,1.2991805,103.8541865,4-C4NJGEDEE2X1TN?
McDonald's - Boat Quay,"Burger, Fast Food, Halal",4.1,35 mins , 1.2 km,1.3000112,103.8448902,SGDD04944?
Wingstop - Funan,"Fast Food, Fried Chicken, Western, Halal",4.3,40 mins , 0.5 km,1.29121665,103.8498417,4-C4NBJNMVAYXZME?
Bombay Kitchen - Indian And Mexican Cuisine - Boat Quay,"Indian, Mexican, Vegetarian Friendly, Alcohol",4.1,N/A,N/A,1.2856828,103.8507661,4-C6CHAK2DVKBDLJ?
Ramen Matsuri - 7 North Canal Road,"Japanese, Ramen, Noodles",4.2,40 mins , 0.9 km,1.2860998,103.8490061,SGDD00979?
uMart@BoatQuay - Lorong Telok,"Alcohol, Snacks, Groceries, Convenience, Drinks & Beverages",4.5,30 mins , 1.3 km,1.286241,103.8484292,4-C4DUNYMVBAL2FA?
Ricciotti - The Riverwalk,"Pasta, Pizza, Italian",4.5,50 mins , 1.2 km,1.289137,103.848503,SGDD08664?
Kaayaloram Kerala Restaurant - Boat Quay,"Local & Malaysian, Indian, Vegetarian Friendly",4.5,40 mins , 1.2 km,1.2888215,103.8492872,4-C2M3GP62N8N3BA?
Sing Swee Kee Chicken Rice X Raffles Coffee - North Bridge Road,"Local & Malaysian, Coffee & Tea, Drinks & Beverages",4.3,N/A,N/A,1.3036565,103.8596598,4-C6AFLYKZANBBLN?
Al-Zamas River Valley Pte. Ltd. - Circular Road,"Indian, BBQ & Grill, Drinks & Beverages",4.5,40 mins , 1.3 km,1.286502,103.8490766,4-C6BDSCEYT4BZGX?
Kinara - Boat Quay,"Indian, Vegetarian, Seafood, Salad, Drinks & Beverages",4.3,40 mins , 1.1 km,1.2872289,103.8493201,SGDD00657?
&Made Gourmet Burgers - Funan Mall,"Burgers, Snack",4.2,N/A,N/A,N/A,N/A,4-C32ET3DULETBEA?
Co Nut Ink - Esplanade Theatres On The Bay,"Mart, Beverages, Dessert, Ice Cream",4.1,40 mins , 2.5 km,1.2896438,103.8559542,SGDD08898?
Mr Tandoor - Boat Quay,"Indian, Biryani, Chinese cuisine, Curry",4.4,75 mins , 1.3 km,1.2856828,103.8507661,4-C32KFE3EET3HAX?
Carvers X - North Bridge Road,"Western, Beef, Vegetarian",4.6,N/A,N/A,1.3036565,103.8596598,4-C3UGCXDKSFTXHE?
Xiang Gua Li La - North Bridge Road,"Seafood, Chinese",4.5,N/A,N/A,1.2899175,103.8519072,4-C34TN7DGA6MBVN?
Stuff'd - Funan,"Healthy, Salad, Mexican, Halal, Group Friendly",4.5,35 mins , 0.5 km,1.29121665,103.8498417,4-C2VKLAC2MBT2NJ?
Boost Juice Bars - Funan,"Drinks & Beverages, Ice Cream, Dessert",4.2,30 mins , 0.5 km,1.3041311,103.8321841,4-C3CDSE4FCA6BE6?
Sukiya - Funan,"Japanese, Kids Friendly, Drinks & Beverages, Seafood, Halal",4.2,35 mins , 0.5 km,1.29121665,103.8498417,4-C3XTAN6WCCLJKA?
Fish Soup Ban Mian - Funan Mall,"Local & Malaysian, Seafood, Noodles",4.1,N/A,N/A,1.2899175,103.8519072,4-C35YTYWFA6NAAJ?
Penyet King - Funan Mall,Local & Malaysian,4.3,N/A,N/A,1.2899175,103.8519072,4-C35YTYWFATCWBE?
Big Grill - Best of Australian Steaks - Funan Mall,"Western, Local & Malaysian, BBQ & Grill",4.5,N/A,N/A,1.2899175,103.8519072,4-C35YTYWFCKLJTN?
Harry's - Boat Quay,"Western, Burgers, Alcohol",4.4,35 mins , 1.2 km,1.2899175,103.8519072,SGDD06424?
Manam - Upper Circular Road,"Indian, Snack, Alcohol",4.4,45 mins , 1.2 km,1.2889585,103.8479885,4-C2UWA3VBTACTA2?
Anjana Kitchen - Six Battery Road,"Indian, Noodles, Breakfast & Brunch",4.5,40 mins , 1.5 km,1.2852456,103.8520682,4-C6AXGAXGGYL2CT?
Mellow-Indian And Mexican Cuisine - Boat Quay,"Indian, Mexican, Bento",4.3,N/A,N/A,1.2856828,103.8507661,4-C6BVE33YVAUVAX?
Claypot Delight - Funan Mall,"Local & Malaysian, Noodles",4.5,N/A,N/A,1.2899175,103.8519072,4-C35YTYWFCEAGNE?
Tong Luck Mixed Veg Rice - Funan Mall,"Local & Malaysian, Chinese, Hawker",4.5,N/A,N/A,1.2899175,103.8519072,4-C35YTYWFA62FTA?
Gong Yuan Ma La Tang - Funan,"Local & Malaysian, Chinese, Mala",4.2,35 mins , 0.5 km,1.2912968,103.8501729,4-CZBXVFVUJF3GVX?
Tong Fu Ju - 50 Boat Quay,"Chinese, Seafood, Noodles",4.2,40 mins , 1.3 km,1.2869937,103.8493716,SGDD01175?
Dal.komm Coffee - Funan,"Dessert, Coffee & Tea, Breakfast & Brunch",4.3,40 mins , 0.6 km,1.3013209,103.8400063,4-CY2AJUEVVA6YNX?
Tandoori Zaika - 70 Boat Quay,"Indian, Salad, Seafood, Vegetarian Friendly",4.5,40 mins , 1.2 km,1.2879434,103.8493156,4-CZD3LRMAWEKVLJ?
